# source(2026-08-24、Task 11 で実機確認。確認手順は
#   scripts/verify_old_ministries_source.py にコミットしてある):
#
#   一次資料: **中央省庁等改革基本法(平成十年法律第百三号、1998-06-12公布、
#   law_id=410AC0000000103)**。2001年1月6日の1府22省庁→1府12省庁への再編を
#   定めた法律そのもの。e-Gov法令API v2 で機械可読に取得できる:
#     https://laws.e-gov.go.jp/api/2/law_data/410AC0000000103
#   (2026-08-24 実測: 200 / 181,960 bytes。応答本文に下記18名称のうち11件が出現。
#    残り7件(労働省・厚生省・文部省・沖縄開発庁・環境庁・科学技術庁・
#    金融再生委員会)は同法の条文には現れない)
#
#   機械照合できる裏付け: **下記18名称の「○○設置法」は、e-Gov法令API v2 の
#   現行法令メタデータ全9,547件(2026-08-24取得)に1件も存在しない。**
#   対照的に、現行府省(data/reference/ministry-codes.csv の40行)のうち20件は
#   「○○設置法」が現行法令として実在する(残り20件は外局・内部組織などで、
#   親府省の設置法や別の法律(国家公務員法・会計検査院法等)で設置される)。
#   **この非対称が「もう存在しない」の証拠である**(正のコントロール付き。
#   片側だけを見ると照合方法が壊れている場合と区別できない)。
#
#   **以前ここに書いていた https://www.soumu.go.jp/main_sosiki/gyoukan/kanri/ は
#   引用できない**(2026-08-24 実測: 403。index.html を付けると 404)。
#   「実URLを確認してこのコメントを更新すること」という Task 4 の申し送りへの回答。
# 継承マッピング(旧省庁名→現存府省)は設計書§7.2 / 本計画B-5により作らない。
# ここは「現存しない」という判定のための集合のみ(transform/old_ministries.py 参照)
# **このファイルは2001年の中央省庁再編で廃止された名称に限る**(裁定B7でenumの
# 定義文を狭めた)。「閣」(閣令。明治期の法形式)はこれより前に無くなっているため
# ここには載せない — old_ministries に無い政府機関の形をした名称は
# `derive_jurisdiction` が OBSOLETE_ORGANIZATION として導出する(列挙は増やさない)
name
総理府
大蔵省
厚生省
労働省
通商産業省
運輸省
郵政省
自治省
建設省
文部省
科学技術庁
経済企画庁
国土庁
北海道開発庁
沖縄開発庁
総務庁
環境庁
金融再生委員会
